frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
1,10,10,10,15.244,15.309,597.824,1.462,599.289,1.669
2,9,9,9,15.174,0.032,21.279,1.361,22.643,44.163
3,10,10,10,18.822,0.024,19.37,1.749,21.123,47.342
4,10,10,10,15.509,0.02,20.62,1.156,21.779,45.916
5,10,10,10,15.099,0.022,19.691,1.226,20.921,47.8
6,10,10,10,14.428,0.022,19.469,1.218,20.691,48.331
7,11,11,11,13.681,0.021,24.216,1.314,25.533,39.165
8,10,10,10,13.784,0.026,21.692,1.199,22.895,43.678
9,10,10,10,12.629,0.024,22.533,1.156,23.693,42.207
10,12,12,12,12.608,0.032,26.002,1.415,27.421,36.469
11,13,13,13,12.673,0.025,22.386,1.419,23.809,42.001
12,13,13,13,14.455,0.031,22.166,1.471,23.641,42.3
13,12,12,12,12.552,0.025,25.452,1.885,27.341,36.576
14,12,12,12,12.502,0.029,24.301,1.939,26.243,38.105
15,14,14,14,12.491,0.031,23.993,1.912,25.908,38.598
16,14,14,14,12.452,0.026,20.716,1.544,22.263,44.917
17,11,11,11,12.483,0.023,20.694,1.306,22.003,45.449
18,11,11,11,13.511,0.022,20.434,1.274,21.711,46.06
19,10,10,10,13.93,0.022,19.973,1.164,21.141,47.302
20,10,10,10,13.428,0.022,19.806,1.269,21.079,47.441
21,12,12,12,13.97,0.02,19.887,1.389,21.279,46.994
22,8,8,8,12.609,0.021,19.952,1.001,20.957,47.716
23,8,8,8,12.523,0.024,20.267,1.041,21.312,46.923
24,7,7,7,12.476,0.023,19.552,0.889,20.443,48.916
25,7,7,7,12.534,0.024,19.455,0.891,20.35,49.141
26,7,7,7,12.498,0.025,20.552,0.906,21.474,46.568
27,10,10,10,12.431,0.026,19.906,1.268,21.177,47.221
28,10,10,10,12.511,0.023,20.42,1.157,21.58,46.339
29,11,11,11,12.465,0.024,20.851,1.245,22.099,45.252
30,9,9,9,12.452,0.026,20.067,1.072,21.143,47.296
31,12,12,12,12.473,0.026,20.908,1.358,22.27,44.903
32,12,12,12,12.53,0.026,20.743,1.359,22.105,45.239
33,13,13,13,12.474,0.027,20.815,2.066,22.884,43.699
34,13,13,13,12.43,0.027,20.717,1.814,22.535,44.375
35,12,12,12,12.507,0.026,19.615,1.445,21.064,47.474
36,11,11,11,12.642,0.027,20.45,1.541,21.994,45.467
37,11,11,11,12.517,0.025,20.272,1.184,21.459,46.6
38,10,10,10,12.507,0.027,22.233,1.613,23.849,41.93
39,10,10,10,13.609,0.029,19.063,1.169,20.235,49.42
40,9,9,9,12.505,0.028,18.968,1.144,20.115,49.714
41,9,9,9,12.829,0.026,20.07,1.098,21.172,47.233
42,9,9,9,12.64,0.025,20.047,1.055,21.105,47.381
43,11,11,11,13.395,0.029,20.034,1.23,21.267,47.021
44,11,11,11,12.407,0.028,20.262,1.604,21.869,45.727
45,10,10,10,12.62,0.027,20.632,1.178,21.813,45.844
46,10,10,10,12.458,0.027,20.616,1.172,21.792,45.889
47,10,10,10,12.49,0.027,19.396,1.122,20.521,48.731
48,9,9,9,12.35,0.026,19.211,1.125,20.34,49.165
49,8,8,8,12.592,0.028,18.685,1.076,19.765,50.596
50,8,8,8,12.715,0.024,18.545,1.049,19.596,51.03
51,9,9,9,12.634,0.024,20.725,1.119,21.847,45.773
52,10,10,10,12.413,0.027,23.696,1.249,24.949,40.082
53,10,10,10,12.529,0.022,19.004,1.24,20.248,49.388
54,9,9,9,12.436,0.023,18.519,1.149,19.671,50.835
55,10,10,10,12.307,0.023,18.649,1.29,19.943,50.144
56,11,11,11,12.686,0.025,18.945,1.354,20.303,49.254
57,11,11,11,13.934,0.022,18.828,1.304,20.135,49.665
58,9,9,9,12.348,0.023,18.834,1.138,19.975,50.062
59,7,7,7,12.425,0.022,18.452,0.939,19.394,51.563
60,7,7,7,12.358,0.023,18.32,0.951,19.274,51.883
61,8,8,8,12.37,0.022,18.676,1.002,19.682,50.807
62,7,7,7,12.397,0.023,19.475,1.005,20.485,48.817
63,9,9,9,12.682,0.023,20.633,1.116,21.753,45.971
64,7,7,7,13.002,0.022,19.081,0.936,20.02,49.951
65,7,7,7,12.851,0.028,18.894,0.917,19.815,50.468
66,7,7,7,12.762,0.023,18.891,0.982,19.877,50.309
67,8,8,8,12.876,0.024,24.467,1.01,25.481,39.245
68,10,10,10,13.922,0.03,19.192,1.231,20.426,48.958
69,7,7,7,14.813,0.023,19.06,0.945,20.008,49.981
70,9,9,9,12.853,0.021,18.843,1.204,20.05,49.875
71,8,8,8,12.453,0.022,18.647,1.011,19.662,50.86
72,8,8,8,14.835,0.024,18.439,1.038,19.481,51.333
73,7,7,7,12.803,0.021,18.281,0.944,19.228,52.008
74,6,6,6,12.454,0.026,18.57,0.829,19.402,51.541
75,7,7,7,12.42,0.022,18.618,0.95,19.571,51.095
76,8,8,8,12.453,0.025,18.938,1.037,19.978,50.056
77,10,10,10,12.502,0.023,20.715,1.149,21.867,45.73
78,9,9,9,12.561,0.029,28.629,1.15,29.783,33.576
79,9,9,9,12.655,0.029,23.373,1.139,24.516,40.79
80,9,9,9,12.624,0.03,23.973,1.132,25.109,39.826
81,7,7,7,12.642,0.025,25.599,0.937,26.539,37.68
82,8,8,8,12.926,0.033,26.384,1.107,27.495,36.371
83,11,11,11,12.451,0.037,25.019,1.248,26.27,38.066
84,9,9,9,14.598,0.029,22.711,1.172,23.887,41.863
85,9,9,9,13.407,0.033,21.961,1.099,23.064,43.358
86,10,10,10,12.734,0.024,18.525,1.211,19.739,50.662
87,10,10,10,12.718,0.026,18.541,1.185,19.729,50.686
88,10,10,10,12.724,0.025,18.378,1.196,19.578,51.078
89,10,10,10,12.924,0.024,18.244,1.183,19.431,51.464
90,9,9,9,12.473,0.025,18.29,1.17,19.463,51.378
91,11,11,11,12.38,0.026,18.739,1.292,20.033,49.917
92,8,8,8,12.345,0.022,18.266,1.061,19.33,51.734
93,9,9,9,12.353,0.024,18.514,1.122,19.64,50.917
94,8,8,8,12.393,0.022,19.245,1.072,20.32,49.212
95,8,8,8,12.349,0.023,18.296,1.569,19.868,50.332
96,7,7,7,12.342,0.022,18.481,0.916,19.4,51.545
97,8,8,8,12.427,0.03,18.301,1.013,19.318,51.766
98,7,7,7,12.375,0.024,17.87,0.916,18.789,53.222
99,7,7,7,12.314,0.025,18.129,0.926,19.059,52.469
100,8,8,8,12.404,0.026,20.977,1.027,22.007,45.44
101,8,8,8,13.447,0.027,22.145,1.07,23.219,43.069
102,8,8,8,12.295,0.024,23.335,1.033,24.371,41.032
103,8,8,8,12.265,0.033,20.826,1.108,21.938,45.584
104,9,9,9,12.25,0.034,22.887,1.141,24.032,41.612
105,9,9,9,12.363,0.027,24.228,1.135,25.368,39.42
106,9,9,9,12.758,0.034,23.005,1.994,25.004,39.994
107,8,8,8,14.11,0.035,22.995,1.044,24.044,41.59
108,8,8,8,12.481,0.033,22.094,1.007,23.105,43.281
109,8,8,8,12.715,0.028,24.2,1.09,25.294,39.536
110,7,7,7,12.597,0.032,22.234,0.963,23.2,43.103
111,7,7,7,13.451,0.033,21.641,0.946,22.591,44.266
112,9,9,9,13.899,0.033,23.831,1.116,24.951,40.079
113,9,9,9,13.139,0.033,22.676,1.179,23.858,41.914
114,7,7,7,12.48,0.032,24.083,1.022,25.108,39.828
115,8,8,8,12.494,0.021,18.911,1.099,20.013,49.967
