frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
1,10,10,10,15.019,15.102,447.555,1.436,448.994,2.227
2,9,9,9,19.96,0.031,22.863,1.179,24.046,41.588
3,10,10,10,17.14,0.022,19.524,1.221,20.748,48.197
4,10,10,10,16.037,0.02,19.751,1.194,20.949,47.736
5,10,10,10,13.783,0.019,20.931,1.246,22.181,45.084
6,10,10,10,13.55,0.019,19.552,1.203,20.759,48.173
7,11,11,11,13.689,0.021,19.872,1.353,21.228,47.108
8,10,10,10,12.373,0.024,20.264,1.202,21.469,46.579
9,10,10,10,12.351,0.02,20.535,1.23,21.768,45.938
10,12,12,12,12.417,0.02,20.207,1.46,21.67,46.146
11,13,13,13,12.371,0.02,20.162,1.467,21.632,46.228
12,13,13,13,13.599,0.02,20.098,1.513,21.615,46.263
13,12,12,12,12.334,0.021,20.349,1.382,21.735,46.009
14,12,12,12,12.361,0.022,20.071,1.457,21.531,46.444
15,14,14,14,12.401,0.019,20.618,1.576,22.197,45.05
16,14,14,14,12.317,0.02,20.471,1.643,22.119,45.211
17,11,11,11,12.287,0.021,19.507,1.352,20.862,47.934
18,11,11,11,12.303,0.023,19.859,1.327,21.19,47.193
19,10,10,10,12.331,0.018,19.54,1.205,20.749,48.196
20,10,10,10,12.334,0.022,19.357,1.222,20.582,48.586
21,12,12,12,12.345,0.022,19.772,1.413,21.188,47.196
22,8,8,8,12.453,0.018,19.947,1.071,21.022,47.569
23,8,8,8,12.357,0.021,19.778,1.048,20.829,48.009
24,7,7,7,12.298,0.021,19.528,0.963,20.494,48.794
25,7,7,7,12.371,0.021,19.503,0.919,20.425,48.959
26,7,7,7,12.394,0.02,20.033,0.972,21.008,47.6
27,9,9,9,12.315,0.022,19.635,1.095,20.734,48.231
28,9,9,9,12.317,0.03,20.001,1.089,21.093,47.41
29,10,10,10,12.378,0.024,19.996,1.259,21.258,47.04
30,9,9,9,12.37,0.023,20.138,1.107,21.249,47.061
31,11,11,11,12.349,0.022,20.095,1.398,21.496,46.52
32,11,11,11,12.442,0.022,19.986,1.371,21.361,46.815
33,12,12,12,12.388,0.023,23.719,1.412,25.135,39.785
34,12,12,12,12.33,0.022,20.196,1.46,21.659,46.169
35,11,11,11,12.34,0.022,20.036,1.357,21.396,46.737
36,10,10,10,12.312,0.022,19.92,1.263,21.186,47.201
37,10,10,10,12.329,0.021,20.125,1.957,22.085,45.28
38,9,9,9,12.38,0.019,20.041,1.17,21.214,47.139
39,9,9,9,12.312,0.021,19.311,1.164,20.478,48.833
40,8,8,8,12.378,0.022,19.331,1.075,20.41,48.996
41,8,8,8,12.293,0.021,19.486,1.046,20.536,48.695
42,8,8,8,12.321,0.023,19.217,1.045,20.264,49.348
43,10,10,10,14.373,0.021,19.277,1.275,20.554,48.652
44,10,10,10,12.606,0.023,19.144,1.329,20.476,48.838
45,9,9,9,12.433,0.023,19.43,1.207,20.64,48.449
46,9,9,9,12.371,0.023,18.964,1.176,20.143,49.644
47,9,9,9,12.486,0.023,19.036,1.143,20.182,49.549
48,8,8,8,12.343,0.023,18.956,1.109,20.068,49.83
49,7,7,7,12.331,0.023,19.065,1.042,20.109,49.728
50,7,7,7,12.465,0.022,18.865,0.964,19.833,50.422
51,8,8,8,12.286,0.021,20.763,1.026,21.791,45.89
52,9,9,9,12.386,0.027,23.708,1.2,24.911,40.142
53,9,9,9,12.377,0.024,19.302,1.191,20.497,48.789
54,8,8,8,12.439,0.024,18.761,1.188,19.952,50.12
55,9,9,9,12.395,0.02,19.052,1.185,20.24,49.407
56,10,10,10,12.881,0.021,19.073,1.217,20.294,49.275
57,10,10,10,14.127,0.024,19.321,1.286,20.611,48.518
58,9,9,9,12.374,0.021,19.15,1.205,20.358,49.121
59,7,7,7,12.421,0.022,18.825,0.947,19.774,50.57
60,7,7,7,12.462,0.023,18.587,0.934,19.524,51.219
61,8,8,8,12.401,0.026,19.115,1.038,20.156,49.612
62,7,7,7,12.226,0.026,20.798,0.984,21.786,45.9
63,8,8,8,12.306,0.026,19.009,1.118,20.13,49.678
64,6,6,6,12.404,0.023,18.978,0.875,19.856,50.364
65,6,6,6,12.385,0.023,18.424,0.866,19.293,51.832
66,6,6,6,12.49,0.022,18.939,0.879,19.821,50.452
67,8,8,8,13.429,0.023,19.483,1.067,20.554,48.652
68,9,9,9,12.478,0.024,19.435,1.241,20.679,48.358
69,7,7,7,13.716,0.023,19.16,0.981,20.144,49.643
