frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
1,10,10,10,15.061,15.164,445.228,1.535,446.766,2.238
2,9,9,9,19.356,0.03,23.563,1.693,25.259,39.591
3,10,10,10,17.15,0.022,19.615,1.458,21.076,47.448
4,10,10,10,15.058,0.021,20.005,1.345,21.354,46.831
5,10,10,10,13.717,0.021,19.476,1.34,20.819,48.034
6,10,10,10,13.772,0.019,19.906,1.361,21.271,47.012
7,11,11,11,13.687,0.021,20.995,1.539,22.537,44.371
8,10,10,10,12.504,0.019,20.182,1.463,21.649,46.191
9,10,10,10,12.412,0.022,23.494,1.484,24.981,40.031
10,12,12,12,12.407,0.027,20.036,1.645,21.685,46.115
11,13,13,13,12.417,0.022,20.153,1.823,21.98,45.495
12,13,13,13,13.576,0.021,19.822,1.789,21.615,46.263
13,12,12,12,12.316,0.02,20.275,1.836,22.115,45.219
14,12,12,12,12.392,0.021,19.87,1.707,21.581,46.337
15,14,14,14,12.363,0.021,20.157,1.956,22.116,45.215
16,14,14,14,12.42,0.02,20.072,1.801,21.876,45.712
17,11,11,11,12.309,0.02,19.75,1.544,21.298,46.952
18,11,11,11,12.307,0.022,19.638,1.615,21.256,47.045
19,10,10,10,12.302,0.022,19.309,1.421,20.733,48.231
20,10,10,10,12.304,0.019,19.01,1.395,20.409,48.999
21,12,12,12,12.42,0.021,19.581,1.628,21.213,47.141
22,8,8,8,12.423,0.02,19.735,1.278,21.016,47.582
23,8,8,8,12.344,0.022,19.517,1.209,20.73,48.239
24,7,7,7,12.335,0.02,19.507,1.14,20.65,48.425
25,7,7,7,12.318,0.023,19.207,1.128,20.339,49.168
26,7,7,7,12.367,0.024,19.768,1.186,20.958,47.715
27,9,9,9,12.428,0.023,19.206,1.362,20.571,48.612
28,9,9,9,12.308,0.021,20.044,1.394,21.441,46.639
29,10,10,10,12.326,0.021,19.954,1.438,21.395,46.739
30,9,9,9,12.382,0.021,19.897,1.336,21.236,47.091
31,11,11,11,12.283,0.02,19.927,1.61,21.54,46.424
32,11,11,11,12.388,0.022,19.684,1.636,21.324,46.896
33,12,12,12,12.337,0.021,20.268,1.684,21.956,45.546
34,12,12,12,12.389,0.021,20.051,1.632,21.687,46.111
35,11,11,11,12.324,0.021,20.279,1.646,21.928,45.604
36,10,10,10,12.297,0.023,19.926,1.449,21.378,46.778
37,10,10,10,12.283,0.02,24.14,2.219,26.362,37.933
38,9,9,9,12.362,0.025,19.754,1.311,21.068,47.466
39,9,9,9,12.295,0.021,19.125,1.275,20.404,49.011
40,8,8,8,12.329,0.023,19.109,1.155,20.267,49.342
41,8,8,8,12.332,0.022,19.6,1.192,20.796,48.087
42,8,8,8,12.312,0.021,19.186,1.306,20.495,48.792
43,10,10,10,13.997,0.019,19.12,1.426,20.55,48.662
44,10,10,10,12.3,0.021,19.209,1.4,20.613,48.514
45,9,9,9,12.275,0.02,19.669,1.403,21.075,47.45
46,9,9,9,12.304,0.023,20.316,1.573,21.893,45.676
47,9,9,9,12.312,0.019,19.888,1.303,21.194,47.182
48,8,8,8,12.286,0.025,19.687,1.282,20.972,47.682
49,7,7,7,12.237,0.025,19.92,1.138,21.061,47.48
50,7,7,7,12.278,0.02,19.353,1.146,20.503,48.774
51,8,8,8,12.311,0.025,21.511,1.181,22.694,44.064
52,9,9,9,12.282,0.024,23.409,1.476,24.889,40.178
53,9,9,9,12.327,0.021,19.893,1.311,21.207,47.153
54,8,8,8,12.356,0.022,18.927,1.26,20.19,49.53
55,9,9,9,12.297,0.021,18.945,1.312,20.261,49.357
56,10,10,10,12.273,0.024,19.277,1.513,20.793,48.094
57,10,10,10,12.251,0.025,19.194,1.478,20.674,48.369
58,9,9,9,12.279,0.022,19.126,1.506,20.636,48.459
59,7,7,7,12.289,0.02,18.77,1.07,19.843,50.395
60,7,7,7,12.247,0.023,18.974,1.172,20.15,49.627
61,8,8,8,12.233,0.02,19.565,1.301,20.87,47.916
62,7,7,7,12.204,0.021,19.745,1.033,20.782,48.12
63,8,8,8,12.321,0.027,18.911,1.167,20.082,49.795
64,6,6,6,12.261,0.027,19.17,0.99,20.164,49.594
65,6,6,6,12.272,0.024,20.259,1.542,21.805,45.862
66,6,6,6,12.268,0.021,19.1,1.001,20.104,49.741
67,8,8,8,12.349,0.019,19.213,1.358,20.575,48.603
68,9,9,9,12.289,0.022,19.404,1.338,20.746,48.201
69,7,7,7,13.493,0.02,19.452,1.054,20.521,48.731
70,9,9,9,12.343,0.024,19.689,1.413,21.104,47.383
71,8,8,8,12.298,0.021,19.293,1.198,20.494,48.794
72,8,8,8,12.309,0.065,19.29,1.324,20.618,48.502
73,7,7,7,12.319,0.021,19.583,1.092,20.678,48.361
74,6,6,6,12.299,0.021,19.437,1.083,20.524,48.725
75,7,7,7,13.583,0.021,19.011,1.241,20.256,49.369
76,8,8,8,12.374,0.021,19.475,1.214,20.692,48.328
77,10,10,10,12.34,0.021,19.883,1.475,21.362,46.813
78,9,9,9,12.469,0.021,19.39,1.362,20.756,48.178
79,9,9,9,12.396,0.022,19.614,1.34,20.958,47.715
80,9,9,9,12.458,0.024,19.585,1.329,20.917,47.807
81,7,7,7,12.452,0.022,19.339,1.118,20.461,48.874
82,8,8,8,12.279,0.021,18.907,1.437,20.348,49.145
83,11,11,11,12.406,0.023,20.271,1.548,21.823,45.823
84,9,9,9,12.313,0.023,24.775,1.413,26.192,38.18
85,9,9,9,12.302,0.029,20.896,1.29,22.19,45.065
86,10,10,10,12.347,0.031,24.604,1.478,26.086,38.335
87,10,10,10,12.454,0.029,25.155,1.437,26.595,37.601
88,10,10,10,12.385,0.032,22.534,1.408,23.946,41.761
89,10,10,10,12.382,0.032,24.597,1.45,26.051,38.387
90,9,9,9,12.494,0.027,26.811,1.537,28.353,35.27
91,11,11,11,12.693,0.031,23.927,1.564,25.495,39.223
92,8,8,8,15.427,0.033,22.215,1.255,23.474,42.601
93,9,9,9,17.465,0.032,22.874,1.287,24.165,41.383
94,8,8,8,19.989,0.029,20.931,2.029,22.98,43.516
95,8,8,8,15.3,0.024,20.119,1.296,21.418,46.69
96,7,7,7,15.089,0.023,19.514,1.123,20.64,48.449
97,8,8,8,12.879,0.024,19.458,1.247,20.707,48.292
98,7,7,7,12.584,0.021,19.524,1.152,20.681,48.355
99,7,7,7,12.767,0.028,20.512,1.203,21.719,46.042
100,8,8,8,14.163,0.019,20.274,1.271,21.549,46.405
101,8,8,8,12.398,0.022,21.513,1.214,22.731,43.993
102,8,8,8,12.285,0.029,23.364,1.237,24.604,40.643
103,8,8,8,12.301,0.026,19.617,1.133,20.753,48.186
104,9,9,9,12.357,0.025,19.397,1.34,20.741,48.214
105,9,9,9,12.436,0.022,19.636,1.42,21.059,47.485
106,9,9,9,12.529,0.021,19.516,1.302,20.822,48.026
107,8,8,8,13.961,0.021,19.201,1.292,20.497,48.789
108,8,8,8,12.449,0.021,19.341,1.178,20.523,48.726
109,8,8,8,12.281,0.022,18.855,1.182,20.04,49.9
110,7,7,7,12.365,0.019,18.878,1.064,19.945,50.137
111,7,7,7,12.321,0.02,19.159,1.07,20.233,49.425
112,9,9,9,12.4,0.021,19.555,1.397,20.956,47.718
113,9,9,9,12.397,0.019,19.463,1.4,20.866,47.926
114,7,7,7,12.319,0.02,19.492,1.127,20.622,48.491
115,8,8,8,12.544,0.026,19.901,1.248,21.153,47.274
116,7,7,7,12.296,0.026,20.503,1.182,21.689,46.107
117,5,5,5,12.297,0.029,19.901,0.865,20.77,48.146
118,6,6,6,12.399,0.024,22.155,0.998,23.158,43.182
119,6,6,6,12.302,0.03,25.034,1.044,26.082,38.341
120,6,6,6,12.401,0.024,24.945,0.948,25.898,38.613
121,7,7,7,12.456,0.033,25.183,1.145,26.333,37.975
122,8,8,8,18.347,0.032,25.865,1.378,27.248,36.7
123,7,7,7,14.616,0.032,23.6,1.125,24.729,40.438
124,5,5,5,12.761,0.02,21.54,0.873,22.416,44.61
125,5,5,5,12.807,0.019,18.914,0.862,19.78,50.556
126,5,5,5,12.787,0.019,19.066,0.866,19.934,50.165
127,5,5,5,14.8,0.023,18.649,0.833,19.485,51.321
128,5,5,5,13.968,0.023,19.097,0.895,19.996,50.011
129,5,5,5,13.085,0.021,18.474,0.83,19.307,51.794
130,5,5,5,12.499,0.022,18.293,0.851,19.148,52.226
131,5,5,5,12.305,0.022,18.266,0.862,19.131,52.271
132,5,5,5,12.504,0.024,18.39,0.929,19.324,51.75
133,5,5,5,12.514,0.023,18.636,0.851,19.491,51.306
134,5,5,5,12.557,0.022,18.983,0.855,19.842,50.399
135,6,6,6,12.495,0.039,18.917,0.991,19.911,50.224
136,9,9,9,12.42,0.024,19.638,1.491,21.133,47.32
137,7,7,7,12.259,0.025,23.155,1.11,24.269,41.204
138,5,5,5,12.249,0.031,24.228,1.146,25.379,39.403
139,5,5,5,12.552,0.039,25.849,0.924,26.778,37.343
140,5,5,5,12.481,0.038,23.381,0.838,24.223,41.282
141,7,7,7,12.801,0.03,24.77,1.138,25.913,38.591
142,7,7,7,12.636,0.061,24.948,1.076,26.028,38.42
143,7,7,7,13.632,0.033,24.359,1.116,25.479,39.248
144,8,8,8,12.618,0.031,26.158,1.497,27.659,36.155
145,8,8,8,12.885,0.025,20.764,1.277,22.045,45.363
146,9,9,9,12.734,0.021,19.438,2.359,21.802,45.868
147,8,8,8,12.822,0.114,20.45,1.197,21.651,46.187
148,8,8,8,12.462,0.022,19.797,1.183,20.983,47.657
149,9,9,9,12.744,0.023,19.061,1.258,20.322,49.207
150,9,9,9,12.499,0.026,19.283,1.312,20.598,48.548
151,9,9,9,12.309,0.028,22.826,1.323,24.153,41.403
152,10,10,10,12.36,0.027,21.93,1.412,23.346,42.833
153,10,10,10,12.839,0.025,19.004,1.446,20.454,48.89
154,10,10,10,12.295,0.027,18.971,1.466,20.44,48.923
155,10,10,10,12.649,0.022,19.646,1.519,21.168,47.24
156,8,8,8,12.921,0.021,19.28,1.172,20.456,48.886
157,8,8,8,12.362,0.022,19.561,1.242,20.806,48.063
158,9,9,9,12.344,0.022,19.467,1.304,20.774,48.137
159,7,7,7,12.293,0.021,18.923,1.037,19.963,50.094
160,7,7,7,12.348,0.023,19.079,1.096,20.179,49.556
161,9,9,9,12.291,0.023,19.466,1.309,20.778,48.128
162,9,9,9,12.28,0.02,19.326,1.403,20.732,48.235
163,9,9,9,12.181,0.02,18.918,1.313,20.234,49.421
164,9,9,9,12.276,0.02,18.776,1.393,20.172,49.573
165,7,7,7,12.251,0.021,19.173,1.125,20.301,49.258
166,7,7,7,12.3,0.021,19.232,1.143,20.379,49.07
167,8,8,8,12.269,0.022,19.069,1.193,20.266,49.344
168,7,7,7,12.422,0.022,18.808,1.086,19.897,50.26
169,7,7,7,12.328,0.022,18.676,1.114,19.794,50.521
170,7,7,7,12.351,0.021,19.008,1.149,20.161,49.601
171,8,8,8,12.351,0.022,19.624,1.229,20.856,47.947
172,7,7,7,13.509,0.022,19.426,1.078,20.508,48.761
173,7,7,7,12.303,0.062,19.187,1.201,20.392,49.039
174,7,7,7,12.396,0.023,19.398,1.111,20.512,48.751
175,6,6,6,12.339,0.02,20.799,1.002,21.805,45.861
