frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
1,31,31,31,22.616,22.937,710.24,4.911,715.153,1.398
2,30,30,30,24.716,0.034,29.701,5.134,34.838,28.704
3,29,29,29,25.047,0.025,28.498,4.669,33.171,30.147
4,29,29,29,19.12,0.028,27.615,4.644,32.263,30.995
5,29,29,29,20.067,0.026,26.97,4.749,31.722,31.523
6,28,28,28,21.557,0.025,27.595,4.461,32.06,31.192
7,29,29,29,18.355,0.026,28.004,4.774,32.781,30.505
8,28,28,28,20.213,0.026,27.601,4.414,32.018,31.232
9,25,25,25,20.558,0.025,28.033,4.074,32.111,31.142
10,29,29,29,19.994,0.023,27.763,4.668,32.435,30.831
11,28,28,28,19.99,0.023,27.881,4.407,32.292,30.968
12,28,28,28,20.233,0.023,27.618,4.622,32.244,31.014
13,27,27,27,19.881,0.022,27.104,4.339,31.448,31.798
14,25,25,25,19.859,0.034,27.458,4.144,31.606,31.64
15,25,25,25,19.768,0.026,27.963,4.137,32.104,31.148
16,28,28,28,20.256,0.026,26.922,4.414,31.339,31.909
17,27,27,27,19.93,0.027,26.591,4.406,31.0,32.258
18,27,27,27,19.086,0.028,26.741,4.317,31.062,32.193
19,27,27,27,19.936,0.024,27.099,4.303,31.406,31.841
20,25,25,25,20.348,0.024,27.12,4.145,31.269,31.981
21,25,25,25,18.918,0.025,26.023,4.134,30.161,33.155
22,27,27,27,18.907,0.026,27.55,4.631,32.185,31.07
23,27,27,27,19.104,0.027,28.862,4.424,33.29,30.039
24,27,27,27,19.203,0.026,27.301,4.271,31.576,31.669
25,27,27,27,18.836,0.026,27.394,4.527,31.925,31.324
26,25,25,25,18.452,0.027,26.893,4.007,30.904,32.358
27,26,26,26,19.059,0.03,26.92,4.163,31.088,32.167
28,26,26,26,20.871,0.029,26.736,4.245,30.984,32.274
29,24,24,24,18.836,0.026,26.472,3.972,30.447,32.844
30,24,24,24,20.316,0.025,26.912,3.8,30.716,32.557
31,28,28,28,18.62,0.025,27.386,4.417,31.807,31.44
32,28,28,28,18.699,0.025,26.746,5.524,32.274,30.985
33,25,25,25,19.314,0.031,27.865,4.191,32.061,31.19
34,27,27,27,18.223,0.026,27.472,4.339,31.816,31.431
35,26,26,26,18.323,0.024,27.852,4.011,31.866,31.381
36,27,27,27,19.512,0.029,27.145,4.4,31.549,31.697
37,27,27,27,18.302,0.027,27.315,4.408,31.726,31.52
38,27,27,27,20.783,0.026,26.85,4.414,31.267,31.983
39,25,25,25,20.173,0.025,26.695,3.755,30.453,32.837
40,25,25,25,19.234,0.025,26.505,4.192,30.7,32.573
41,26,26,26,18.334,0.024,27.498,4.119,31.62,31.625
42,26,26,26,19.238,0.031,26.452,4.349,30.805,32.462
43,26,26,26,18.214,0.025,26.737,4.224,30.964,32.295
44,25,25,25,18.538,0.023,26.101,4.06,30.164,33.152
45,24,24,24,19.053,0.025,26.012,3.786,29.802,33.554
46,22,22,22,18.23,0.023,25.694,3.704,29.402,34.011
47,24,24,24,18.324,0.024,26.798,3.854,30.657,32.619
48,25,25,25,18.503,0.025,25.936,3.758,29.698,33.673
49,25,25,25,18.082,0.029,25.873,3.928,29.804,33.552
50,23,23,23,18.136,0.059,25.699,3.731,29.435,33.974
51,26,26,26,18.586,0.025,28.951,4.128,33.082,30.228
52,24,24,24,19.359,0.03,27.296,3.928,31.228,32.023
53,23,23,23,18.527,0.026,25.91,5.447,31.36,31.888
54,23,23,23,18.867,0.033,26.703,3.654,30.361,32.937
55,24,24,24,19.063,0.026,25.435,4.118,29.557,33.833
56,23,23,23,18.192,0.026,25.946,3.648,29.598,33.786
57,23,23,23,19.808,0.025,26.249,4.085,30.338,32.962
58,23,23,23,18.641,0.025,26.054,3.953,30.012,33.32
59,24,24,24,19.698,0.031,26.324,3.99,30.319,32.983
60,25,25,25,18.888,0.026,26.488,4.272,30.763,32.507
61,26,26,26,19.056,0.026,25.61,4.296,29.909,33.435
62,28,28,28,20.19,0.025,26.5,4.899,31.402,31.845
63,29,29,29,18.906,0.025,26.109,5.428,31.54,31.706
64,28,28,28,19.173,0.028,26.198,4.507,30.709,32.564
65,29,29,29,19.107,0.024,26.12,4.564,30.688,32.586
66,28,28,28,18.46,0.024,26.092,4.449,30.545,32.739
67,27,27,27,19.168,0.024,25.926,4.36,30.29,33.014
68,27,27,27,19.087,0.024,25.728,4.343,30.075,33.25
69,27,27,27,21.974,0.024,26.414,4.049,30.467,32.823
70,27,27,27,19.214,0.025,26.298,4.28,30.582,32.699
71,28,28,28,19.042,0.025,26.061,4.585,30.651,32.626
72,28,28,28,18.965,0.024,28.271,4.77,33.044,30.262
73,28,28,28,19.178,0.026,26.501,4.724,31.229,32.021
