frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
1,25,25,25,17.032,17.148,464.663,3.106,467.773,2.138
2,25,25,25,17.254,0.028,25.536,2.665,28.204,35.456
3,24,24,24,23.081,0.023,23.212,2.615,25.83,38.714
4,25,25,25,19.188,0.022,22.606,2.75,25.359,39.433
5,25,25,25,16.148,0.021,22.924,2.727,25.655,38.979
6,24,24,24,15.997,0.021,24.003,2.658,26.665,37.503
7,24,24,24,15.518,0.022,23.634,2.614,26.251,38.093
8,23,23,23,14.462,0.022,22.829,2.564,25.396,39.376
9,22,22,22,14.647,0.021,24.047,2.534,26.586,37.613
10,25,25,25,14.338,0.024,24.336,2.599,26.938,37.122
11,24,24,24,14.415,0.029,23.144,2.576,25.724,38.875
12,24,24,24,16.878,0.019,22.857,2.571,25.431,39.322
13,23,23,23,14.362,0.018,22.734,2.575,25.312,39.507
14,21,21,21,14.469,0.018,22.599,2.402,25.004,39.993
15,21,21,21,14.772,0.021,22.955,2.327,25.286,39.548
16,23,23,23,14.351,0.021,22.711,2.608,25.323,39.49
17,22,22,22,14.719,0.024,21.582,2.372,23.958,41.74
18,22,22,22,14.531,0.022,21.592,2.469,24.088,41.515
19,22,22,22,14.657,0.021,21.49,2.402,23.896,41.849
20,20,20,20,15.582,0.021,22.19,2.368,24.562,40.713
21,20,20,20,15.13,0.021,21.13,2.21,23.343,42.839
22,22,22,22,14.69,0.021,21.426,2.56,23.99,41.683
23,22,22,22,14.444,0.047,22.069,2.524,24.597,40.656
24,22,22,22,15.499,0.022,21.73,2.55,24.284,41.18
25,22,22,22,15.727,0.027,23.363,2.346,25.712,38.893
26,20,20,20,15.502,0.021,21.817,2.233,24.053,41.574
27,22,22,22,15.461,0.024,21.537,2.413,23.954,41.747
28,22,22,22,15.61,0.024,21.898,2.463,24.364,41.044
29,22,22,22,15.567,0.021,21.566,2.449,24.02,41.632
30,21,21,21,14.883,0.024,22.676,2.403,25.082,39.869
