frame,timestamp_sec,capture_ms,infer_track_ms,state_ms,display_ms,total_loop_ms,person_count,average_fps,recent_fps
0,0.232595,32.566,199.540,0.097,0.003,232.224,0,4.297,4.297
1,0.260214,0.487,26.941,0.115,0.002,27.560,0,7.683,36.196
2,0.290265,2.906,26.984,0.119,0.003,30.028,0,10.331,34.673
3,0.323328,6.897,25.995,0.141,0.003,33.055,0,12.366,33.051
4,0.359264,9.173,26.562,0.137,0.004,35.896,0,13.912,31.571
5,0.392421,6.669,26.287,0.145,0.003,33.126,0,15.284,31.276
6,0.426583,7.314,26.637,0.145,0.003,34.120,0,16.404,30.924
7,0.459076,5.810,26.476,0.143,0.004,32.452,0,17.421,30.903
8,0.491227,6.552,25.394,0.137,0.004,32.108,0,18.316,30.928
9,0.525360,8.770,25.163,0.143,0.003,34.099,0,19.029,30.737
10,0.557630,7.128,24.939,0.140,0.003,32.230,0,19.721,30.763
11,0.590695,8.036,24.826,0.140,0.003,33.026,0,20.310,30.715
12,0.624166,8.156,25.113,0.142,0.003,33.436,0,20.823,30.643
13,0.657525,8.195,24.960,0.146,0.003,33.324,0,21.287,30.590
14,0.691021,8.394,24.894,0.142,0.003,33.453,0,21.702,30.537
15,0.727129,8.656,27.251,0.142,0.003,36.072,0,22.000,30.329
16,0.756055,4.219,24.504,0.141,0.003,28.885,0,22.481,30.564
17,0.790457,9.416,24.784,0.141,0.003,34.363,0,22.767,30.472
18,0.823579,8.099,24.819,0.177,0.003,33.118,0,23.065,30.454
19,0.856728,8.119,24.789,0.140,0.003,33.074,0,23.341,30.441
20,0.888829,7.010,24.891,0.129,0.003,32.052,0,23.623,30.476
21,0.922635,8.707,24.912,0.146,0.003,33.789,0,23.841,30.431
22,0.957125,9.464,24.819,0.144,0.003,34.451,0,24.027,30.363
23,0.990348,8.271,24.747,0.138,0.003,33.179,0,24.230,30.352
24,1.024443,8.355,25.541,0.140,0.003,34.061,0,24.400,30.308
25,1.057167,7.914,24.607,0.132,0.003,32.676,0,24.591,30.318
26,1.091438,8.727,25.356,0.134,0.003,34.239,0,24.735,30.272
27,1.122595,6.362,24.599,0.140,0.003,31.126,0,24.939,30.336
28,1.157057,9.394,24.866,0.131,0.003,34.414,0,25.061,30.287
29,1.191899,9.048,25.606,0.143,0.004,34.820,0,25.167,30.229
