07-12-2026 04:20:10 RAM 2966/7620MB (lfb 6x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,58%@1344,45%@1344,45%@1344,40%@1344,50%@1344] EMC_FREQ 4%@665 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@47.593C soc0@48.375C gpu@47.937C tj@48.375C soc1@47.281C VDD_IN 3880mW/3880mW VDD_CPU_GPU_CV 838mW/838mW VDD_SOC 1120mW/1120mW
07-12-2026 04:20:10 RAM 2973/7620MB (lfb 6x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,25%@1344,10%@1344,18%@1344,18%@729,18%@729] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@47.625C soc0@48.531C gpu@48.187C tj@48.531C soc1@47.187C VDD_IN 3960mW/3920mW VDD_CPU_GPU_CV 918mW/878mW VDD_SOC 1120mW/1120mW
07-12-2026 04:20:10 RAM 2979/7620MB (lfb 6x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@47.562C soc0@48.343C gpu@48.031C tj@48.437C soc1@47.156C VDD_IN 4000mW/3947mW VDD_CPU_GPU_CV 918mW/891mW VDD_SOC 1120mW/1120mW
07-12-2026 04:20:10 RAM 2985/7620MB (lfb 6x4MB) SWAP 0/3810MB (cached 0MB) CPU [63%@729,0%@729,8%@729,8%@729,45%@1344,9%@1344] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@47.5C soc0@48.406C gpu@47.937C tj@48.375C soc1@47.156C VDD_IN 4080mW/3980mW VDD_CPU_GPU_CV 958mW/908mW VDD_SOC 1120mW/1120mW
07-12-2026 04:20:10 RAM 2991/7620MB (lfb 6x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@1344,0%@729,0%@729,100%@1344,21%@1344] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@47.531C soc0@48.468C gpu@48.406C tj@48.468C soc1@47.187C VDD_IN 4040mW/3992mW VDD_CPU_GPU_CV 958mW/918mW VDD_SOC 1120mW/1120mW
07-12-2026 04:20:11 RAM 2992/7620MB (lfb 6x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,91%@1344,100%@1344,100%@1344,100%@1344] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@47.718C soc0@48.343C gpu@48.187C tj@48.531C soc1@47.218C VDD_IN 4392mW/4059mW VDD_CPU_GPU_CV 1156mW/958mW VDD_SOC 1156mW/1126mW
07-12-2026 04:20:11 RAM 3081/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,100%@1344,100%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.812C soc2@47.656C soc0@48.343C gpu@47.968C tj@48.812C soc1@47.187C VDD_IN 4704mW/4151mW VDD_CPU_GPU_CV 1353mW/1014mW VDD_SOC 1194mW/1136mW
07-12-2026 04:20:11 RAM 3098/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,100%@1344,100%@1344] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.937C soc2@47.656C soc0@48.468C gpu@48.312C tj@48.937C soc1@47.125C VDD_IN 4896mW/4244mW VDD_CPU_GPU_CV 1550mW/1081mW VDD_SOC 1192mW/1143mW
07-12-2026 04:20:11 RAM 3104/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [91%@1344,83%@1344,90%@1344,100%@1344,100%@1344,83%@1344] EMC_FREQ 9%@665 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@47.625C soc0@48.406C gpu@48.156C tj@48.687C soc1@47.25C VDD_IN 5047mW/4333mW VDD_CPU_GPU_CV 1666mW/1146mW VDD_SOC 1192mW/1148mW
07-12-2026 04:20:11 RAM 3110/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [76%@1344,81%@1344,66%@1344,72%@1344,100%@1344,63%@1344] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.875C soc2@47.656C soc0@48.437C gpu@48.343C tj@48.875C soc1@47.375C VDD_IN 5198mW/4420mW VDD_CPU_GPU_CV 1743mW/1206mW VDD_SOC 1190mW/1152mW
07-12-2026 04:20:11 RAM 3113/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,18%@1344,100%@1344,0%@1344] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.468C soc2@47.687C soc0@48.312C gpu@48.281C tj@48.437C soc1@47.281C VDD_IN 5039mW/4476mW VDD_CPU_GPU_CV 1624mW/1244mW VDD_SOC 1190mW/1156mW
07-12-2026 04:20:11 RAM 3082/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [16%@986,61%@729,0%@729,53%@729,100%@1344,0%@1344] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@47.718C soc0@48.437C gpu@48C tj@48.531C soc1@47.25C VDD_IN 4928mW/4514mW VDD_CPU_GPU_CV 1547mW/1269mW VDD_SOC 1190mW/1159mW
07-12-2026 04:20:11 RAM 3086/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@729,9%@729,0%@729,16%@729,100%@1344,0%@1344] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.406C soc2@47.656C soc0@48.5C gpu@48.062C tj@48.5C soc1@47.218C VDD_IN 4776mW/4534mW VDD_CPU_GPU_CV 1430mW/1281mW VDD_SOC 1194mW/1161mW
07-12-2026 04:20:11 RAM 3089/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@729,0%@729,0%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@47.562C soc0@48.468C gpu@48.375C tj@48.5C soc1@47.187C VDD_IN 4625mW/4540mW VDD_CPU_GPU_CV 1313mW/1284mW VDD_SOC 1154mW/1161mW
07-12-2026 04:20:12 RAM 3095/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 9%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@47.562C soc0@48.5C gpu@48.187C tj@48.5C soc1@47.281C VDD_IN 4505mW/4538mW VDD_CPU_GPU_CV 1275mW/1283mW VDD_SOC 1156mW/1161mW
